,MEM CLASS,ID,Name, Department ,Member  Status,Carenderia Waived Budget," Share Capital as of  August 31, 2026 "," Short Term Loan Bal. as of  August 31, 2026 "," Carenderia Bal. as of  August 31, 2026 "," Consumer Bal. as of  August 31, 2026 "," Long Term Loan Bal. as of  August 31, 2026 "," TOTAL Balances as of  August 31, 2026 ", CONSUMER REMARKS , REMARKS 
A,SILVER,A1042,"CRUZ, JUAN DELA",08.12_Human Resources,ACTIVE,-,-,45200,5000,45510.5,250,0,5250,
D,GOLD,D8821,"SANTOS, MARIA CLARA",Safety & Health,ACTIVE,-,-,58300.5,1200,-0.05,100,0,1300,
D,PLATINUM,D6543,"REYES, ARTHUR MENDOZA",08.46_Legal,ACTIVE,-,-,1835000,-,0,-,-,-,
A,BRONZE,A3190,"GARCIA, LIEZEL FLORES",Mine Operations,ACTIVE,-,-,22400,3100,22150,150,0,3250,
D,NA,D9102,"TORRES, CARLOS TAN",08.40_Accounting,INACTIVE,-,-,-,0,-,-,0,0,END OF CONTRACT
A,TITANIUM,A0912,"ALVAREZ, BEATRICE LUZ",PMD,ACTIVE,-,-,82150,135400,9320,820,0,16220,
D,DIAMOND,D4431,"RAMOS, BENJAMIN CRUZ",ECS Admin,ACTIVE,-,-,112000,0,250,-,-,0,
A,GOLD,A5532,"VALDEZ, ROSEMARIE LIM",08.12_Human Resources,ACTIVE,-,-,"38,900.25",4200,250,310.5,0,4510.5,
D,SILVER,D3391,"CASTRO, DENNIS VILLANUEVA",Mine Services,ACTIVE,-,-,"27,800.00",0,100,0,-0.05,-0.05,
A,NA,A8820,"MENDOZA, PAULA DIAZ",08.40_Accounting,INACTIVE,-,-,-,0,-,-,0,0,VOLUNTARY RESIGNATION
D,TITANIUM,D6211,"AQUINO, RODRIGO PEREZ",Environment_Dept,ACTIVE,-,-,"69,800.00",21000,150,1150,0,22150,
A,PLATINUM,A1109,"BAUTISTA, KAREN CHUA",08.46_Legal,ACTIVE,-,-,210000,-,-,-,-,-,
D,GOLD,D4002,"FERNANDEZ, MARCELO SY",Mine R & M - Electrical,ACTIVE,-,-,31500,8900,820,420,0,9320,
